"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"HGFAC","207027_at",0.8190191,0.606,0.526,-6.17849,0.17113051,"HGFAC","HGF activator","HGFAC"
"TMX3","225302_at",0.819163,0.606,-0.525,-6.17862,-0.08502168,"TMX3","thioredoxin related transmembrane protein 3","TMX3"
"PGAM2","205736_at",0.8191899,0.606,-0.525,-6.17865,-0.12864358,"PGAM2","phosphoglycerate mutase 2","PGAM2"
"UTS2","220784_s_at",0.8192184,0.606,0.525,-6.17874,0.43693328,"UTS2","urotensin 2","UTS2"
"SERPINB10","214539_at",0.8192425,0.607,0.525,-6.17886,0.22866987,"SERPINB10","serpin family B member 10","SERPINB10"
"MIR3652","200598_s_at",0.8192425,0.607,-0.525,-6.17887,-0.2064173,"MIR3652///HSP90B1","microRNA 3652///heat shock protein 90 beta family member 1","MIR3652"
"GPR75","220481_at",0.8192425,0.607,-0.525,-6.17888,-0.14922683,"GPR75","G protein-coupled receptor 75","GPR75"
"TSGA10IP","1553483_at",0.8193321,0.607,0.525,-6.179,0.2699192,"TSGA10IP","testis specific 10 interacting protein","TSGA10IP"
"LOC105370549","1560557_at",0.8194933,0.607,-0.524,-6.17923,-0.28897162,"LOC105370549","uncharacterized LOC105370549","LOC105370549"
"C4BPB","208209_s_at",0.8194933,0.607,-0.524,-6.17927,-0.12005799,"C4BPB","complement component 4 binding protein beta","C4BPB"
"JAM3","231721_at",0.8194933,0.607,-0.524,-6.17928,-0.24357981,"JAM3","junctional adhesion molecule 3","JAM3"
"AIFM1","205512_s_at",0.8196155,0.607,0.524,-6.17939,0.11644439,"AIFM1","apoptosis inducing factor, mitochondria associated 1","AIFM1"
"NFAM1","230322_at",0.8196624,0.607,0.524,-6.17954,0.12539604,"NFAM1","NFAT activating protein with ITAM motif 1","NFAM1"
"TFAP2D","233987_at",0.8197585,0.608,-0.523,-6.17964,-0.24030455,"TFAP2D","transcription factor AP-2 delta","TFAP2D"
"LOC101928076","240382_at",0.8198108,0.608,0.523,-6.17982,0.153962,"LOC101928076","uncharacterized LOC101928076","LOC101928076"
"VSTM2A-OT1","1560692_at",0.8198108,0.608,-0.523,-6.17984,-0.23801206,"VSTM2A-OT1///VSTM2A","VSTM2A overlapping transcript 1///V-set and transmembrane domain containing 2A","VSTM2A-OT1"
"PAFAH1B3","203228_at",0.8199648,0.608,-0.523,-6.18003,-0.20958326,"PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3","PAFAH1B3"
"CYTIP","209606_at",0.8199648,0.608,0.523,-6.18004,0.08152273,"CYTIP","cytohesin 1 interacting protein","CYTIP"
"ILDR1","1553545_at",0.8199648,0.608,0.523,-6.18006,0.13809975,"ILDR1","immunoglobulin like domain containing receptor 1","ILDR1"
"LOC101927958","1561499_at",0.8199648,0.608,0.523,-6.18007,0.14818154,"LOC101927958","uncharacterized LOC101927958","LOC101927958"
"PTPN6","206687_s_at",0.8199648,0.608,-0.523,-6.18007,-0.10345381,"PTPN6","protein tyrosine phosphatase, non-receptor type 6","PTPN6"
"LOC105369739","242159_at",0.8200117,0.608,-0.523,-6.18011,-0.09279682,"LOC105369739","uncharacterized LOC105369739","LOC105369739"
"ANKRD39","223532_at",0.8201085,0.608,-0.522,-6.18022,-0.08296521,"ANKRD39","ankyrin repeat domain 39","ANKRD39"
"RNASEH1-AS1","232790_at",0.8202313,0.608,0.522,-6.18039,0.19670894,"RNASEH1-AS1","RNASEH1 antisense RNA 1","RNASEH1-AS1"
"SPANXA2-OT1","1564491_at",0.8204733,0.609,-0.521,-6.1807,-0.38180004,"SPANXA2-OT1","SPANXA2 overlapping transcript 1","SPANXA2-OT1"
"MICALCL","243611_at",0.8204733,0.609,-0.521,-6.18075,-0.32468099,"MICALCL","MICAL C-terminal like","MICALCL"
"C17orf82","1555478_at",0.8204733,0.609,0.521,-6.18078,0.13659782,"C17orf82","chromosome 17 open reading frame 82","C17orf82"
"TINAG","240480_at",0.8205873,0.609,0.521,-6.18086,0.43412721,"TINAG","tubulointerstitial nephritis antigen","TINAG"
"NXPH1","232377_at",0.8206123,0.609,0.521,-6.1809,0.17391312,"NXPH1","neurexophilin 1","NXPH1"
"TSLP","235737_at",0.8206123,0.609,0.521,-6.18091,0.11500082,"TSLP","thymic stromal lymphopoietin","TSLP"
"TNFRSF12A","218368_s_at",0.8206517,0.609,-0.521,-6.18095,-0.29455406,"TNFRSF12A","TNF receptor superfamily member 12A","TNFRSF12A"
"ENTHD1","1552393_at",0.8206927,0.609,-0.521,-6.181,-0.28401123,"ENTHD1","ENTH domain containing 1","ENTHD1"
"CDH4","1563587_at",0.820709,0.609,0.521,-6.18105,0.13093364,"CDH4","cadherin 4","CDH4"
"CKB","200884_at",0.8207461,0.609,-0.521,-6.18109,-0.11947573,"CKB","creatine kinase B","CKB"
"KCNG3","1552897_a_at",0.8209435,0.61,0.52,-6.18128,0.40940134,"KCNG3","potassium voltage-gated channel modifier subfamily G member 3","KCNG3"
"ALOX15B","206714_at",0.8211462,0.61,0.52,-6.18153,0.11978959,"ALOX15B","arachidonate 15-lipoxygenase, type B","ALOX15B"
"POLR2J","212782_x_at",0.8211462,0.61,0.52,-6.18154,0.07742188,"POLR2J","RNA polymerase II subunit J","POLR2J"
"RBM11","232549_at",0.8212563,0.61,0.52,-6.18166,0.12646923,"RBM11","RNA binding motif protein 11","RBM11"
"LINC01304","237343_at",0.8213848,0.61,0.519,-6.1818,0.31929604,"LINC01304","long intergenic non-protein coding RNA 1304","LINC01304"
"YTHDF3-AS1","231071_at",0.8213848,0.61,-0.519,-6.18181,-0.18557559,"YTHDF3-AS1","YTHDF3 antisense RNA 1 (head to head)","YTHDF3-AS1"
"TOB1-AS1","241405_at",0.8213848,0.61,0.519,-6.18187,0.15208308,"TOB1-AS1","TOB1 antisense RNA 1","TOB1-AS1"
"THBS3","209561_at",0.8213862,0.61,0.519,-6.18189,0.21574903,"THBS3","thrombospondin 3","THBS3"
"SLC22A12","237799_at",0.821409,0.61,0.519,-6.18194,0.16664353,"SLC22A12","solute carrier family 22 member 12","SLC22A12"
"NDST2","203916_at",0.8214361,0.611,0.519,-6.18198,0.17701792,"NDST2","N-deacetylase and N-sulfotransferase 2","NDST2"
"MLIP","216401_x_at",0.8215641,0.611,0.519,-6.18211,0.38748951,"MLIP","muscular LMNA-interacting protein","MLIP"
"MIR1178","242872_at",0.8216066,0.611,0.519,-6.18218,0.18263795,"MIR1178///CIT","microRNA 1178///citron rho-interacting serine/threonine kinase","MIR1178"
"FGFR3","204380_s_at",0.821611,0.611,0.519,-6.18222,0.14256421,"FGFR3","fibroblast growth factor receptor 3","FGFR3"
"ATIC","208758_at",0.821611,0.611,0.518,-6.18226,0.10036397,"ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ATIC"
"LOC100506123","221973_at",0.821611,0.611,0.518,-6.18227,0.34653812,"LOC100506123///LOC100506076","uncharacterized LOC100506123///uncharacterized LOC100506076","LOC100506123"
"HACL1","223211_at",0.821611,0.611,0.518,-6.18228,0.07559248,"HACL1","2-hydroxyacyl-CoA lyase 1","HACL1"
"MGC4859","207775_at",0.8217986,0.611,-0.518,-6.18248,-0.39900065,"MGC4859","uncharacterized LOC79150","MGC4859"
"WDR44","219297_at",0.821814,0.611,0.518,-6.18251,0.0802256,"WDR44","WD repeat domain 44","WDR44"
"NUP210L","232598_at",0.821814,0.611,-0.518,-6.18252,-0.26666076,"NUP210L","nucleoporin 210 like","NUP210L"
"WDR45B","209076_s_at",0.8218689,0.611,-0.518,-6.18257,-0.07625876,"WDR45B","WD repeat domain 45B","WDR45B"
"PCBP1","208620_at",0.8219186,0.611,-0.518,-6.18264,-0.08061669,"PCBP1","poly(rC) binding protein 1","PCBP1"
"MIR663AHG","237670_at",0.8219566,0.612,-0.518,-6.18271,-0.42555446,"MIR663AHG","MIR663A host gene","MIR663AHG"
"SPINT1","202826_at",0.8221858,0.612,0.517,-6.1829,0.20053893,"SPINT1","serine peptidase inhibitor, Kunitz type 1","SPINT1"
"RLN3","1553403_at",0.8222731,0.612,0.517,-6.18303,0.11481046,"RLN3","relaxin 3","RLN3"
"TRIM40","1553079_at",0.8222731,0.612,0.517,-6.18305,0.23015159,"TRIM40","tripartite motif containing 40","TRIM40"
"BOLL","236954_at",0.8222731,0.612,0.517,-6.18306,0.0892794,"BOLL","boule homolog, RNA binding protein","BOLL"
"AKAP11","215336_at",0.8222731,0.612,-0.517,-6.18307,-0.1151532,"AKAP11","A-kinase anchoring protein 11","AKAP11"
"LRRC72","244079_at",0.8223666,0.612,-0.517,-6.18317,-0.14056983,"LRRC72","leucine rich repeat containing 72","LRRC72"
"LOC729307","1569811_at",0.8223666,0.612,-0.517,-6.18318,-0.12710757,"LOC729307","uncharacterized LOC729307","LOC729307"
"TLX1","207179_at",0.8224005,0.612,0.517,-6.18323,0.20452627,"TLX1","T-cell leukemia homeobox 1","TLX1"
"MLPH","218211_s_at",0.8224005,0.612,0.516,-6.18329,0.16234842,"MLPH","melanophilin","MLPH"
"LUC7L2","243852_at",0.8225838,0.612,0.516,-6.18347,0.13034099,"LUC7L2","LUC7 like 2, pre-mRNA splicing factor","LUC7L2"
"SPRR2C","220664_at",0.8226061,0.613,0.516,-6.18352,0.30426498,"SPRR2C","small proline rich protein 2C (pseudogene)","SPRR2C"
"LOC101930324","202395_at",0.8226184,0.613,0.516,-6.18359,0.09788675,"LOC101930324///NSF","uncharacterized LOC101930324///N-ethylmaleimide sensitive factor, vesicle fusing ATPase","LOC101930324"
"KLK6","204733_at",0.8226566,0.613,-0.516,-6.18366,-0.0972663,"KLK6","kallikrein related peptidase 6","KLK6"
"MGC15885","1569393_at",0.8227855,0.613,0.516,-6.18379,0.12279741,"MGC15885","uncharacterized protein MGC15885","MGC15885"
"TRPV3","1552586_at",0.8228887,0.613,-0.515,-6.18387,-0.13089651,"TRPV3","transient receptor potential cation channel subfamily V member 3","TRPV3"
"TMEM9B","218065_s_at",0.8230323,0.613,0.515,-6.18403,0.08664158,"TMEM9B","TMEM9 domain family member B","TMEM9B"
"FGF19","223761_at",0.8231644,0.613,-0.515,-6.18415,-0.22990396,"FGF19","fibroblast growth factor 19","FGF19"
"LINC00473","230251_at",0.8232032,0.613,-0.515,-6.18419,-0.29423849,"LINC00473","long intergenic non-protein coding RNA 473","LINC00473"
"ADM5","232154_at",0.82339,0.614,-0.514,-6.18439,-0.26330228,"ADM5","adrenomedullin 5 (putative)","ADM5"
"LOC100131180","241810_at",0.82339,0.614,0.514,-6.18442,0.11871633,"LOC100131180","uncharacterized LOC100131180","LOC100131180"
"SMS","202043_s_at",0.82339,0.614,0.514,-6.18443,0.07907184,"SMS","spermine synthase","SMS"
"ASIC4","221226_s_at",0.8234266,0.614,0.514,-6.18458,0.18532787,"ASIC4","acid sensing ion channel subunit family member 4","ASIC4"
"TUSC8","1569436_at",0.8234266,0.614,-0.514,-6.18458,-0.32860562,"TUSC8","tumor suppressor candidate 8 (non-protein coding)","TUSC8"
"THAP9-AS1","215009_s_at",0.8235998,0.614,0.514,-6.18473,0.12459337,"THAP9-AS1","THAP9 antisense RNA 1","THAP9-AS1"
"MEIOB","237265_at",0.8236061,0.614,-0.514,-6.18477,-0.23431867,"MEIOB///LINC00254","meiosis specific with OB domains///long intergenic non-protein coding RNA 254","MEIOB"
"KRTAP3-3","233681_at",0.8236229,0.614,0.514,-6.18481,0.17814489,"KRTAP3-3","keratin associated protein 3-3","KRTAP3-3"
"MYPOP","227937_at",0.8237603,0.614,-0.513,-6.1849,-0.10373613,"MYPOP","Myb related transcription factor, partner of profilin","MYPOP"
"GOLGA6A","207575_at",0.8237841,0.615,-0.513,-6.185,-0.29337207,"GOLGA6A","golgin A6 family member A","GOLGA6A"
"COX6A1","200925_at",0.8237841,0.615,0.513,-6.18501,0.07411144,"COX6A1","cytochrome c oxidase subunit 6A1","COX6A1"
"ZNF438","244752_at",0.8238501,0.615,0.513,-6.18508,0.10053599,"ZNF438","zinc finger protein 438","ZNF438"
"ZNF404","239043_at",0.8239492,0.615,0.513,-6.1852,0.28756947,"ZNF404","zinc finger protein 404","ZNF404"
"OLR1","210004_at",0.8239509,0.615,-0.513,-6.18522,-0.16615286,"OLR1","oxidized low density lipoprotein receptor 1","OLR1"
"NEFH","33767_at",0.8240047,0.615,0.513,-6.18531,0.26232557,"NEFH","neurofilament heavy polypeptide","NEFH"
"LOC100130111","1557406_s_at",0.8241797,0.615,-0.512,-6.18546,-0.1328128,"LOC100130111","uncharacterized LOC100130111","LOC100130111"
"USE1","219348_at",0.8241803,0.615,-0.512,-6.18547,-0.12564754,"USE1","unconventional SNARE in the ER 1","USE1"
"GPR84","223767_at",0.8242971,0.615,-0.512,-6.18561,-0.22314454,"GPR84","G protein-coupled receptor 84","GPR84"
"SLITRK3","206732_at",0.8242971,0.615,0.512,-6.18562,0.19842599,"SLITRK3","SLIT and NTRK like family member 3","SLITRK3"
"SDR16C5","238017_at",0.8243888,0.615,0.512,-6.18572,0.24975605,"SDR16C5","short chain dehydrogenase/reductase family 16C, member 5","SDR16C5"
"PPP1R16A","225203_at",0.8243888,0.615,-0.512,-6.18573,-0.15468764,"PPP1R16A","protein phosphatase 1 regulatory subunit 16A","PPP1R16A"
"TTC30B","1554588_a_at",0.8244351,0.616,-0.512,-6.1858,-0.17445262,"TTC30B","tetratricopeptide repeat domain 30B","TTC30B"
"SERPINA6","206325_at",0.8244922,0.616,-0.512,-6.18584,-0.16486507,"SERPINA6","serpin family A member 6","SERPINA6"
"SAAL1","225614_at",0.8244922,0.616,0.512,-6.18586,0.07148275,"SAAL1","serum amyloid A like 1","SAAL1"
"DPY19L2P4","1557290_at",0.8245246,0.616,0.511,-6.18589,0.17214577,"DPY19L2P4","DPY19L2 pseudogene 4","DPY19L2P4"
"NEK3","211089_s_at",0.8246063,0.616,0.511,-6.18598,0.10308907,"NEK3","NIMA related kinase 3","NEK3"
"TNFAIP8L2-SCNM1","218672_at",0.8247567,0.616,-0.511,-6.18612,-0.08959591,"TNFAIP8L2-SCNM1///SCNM1","TNFAIP8L2-SCNM1 readthrough///sodium channel modifier 1","TNFAIP8L2-SCNM1"
"GCHFR","204867_at",0.8248072,0.616,-0.511,-6.18618,-0.1392973,"GCHFR","GTP cyclohydrolase I feedback regulator","GCHFR"
"ADAMTS4","1555380_at",0.8248249,0.616,-0.511,-6.18623,-0.13430326,"ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4","ADAMTS4"
"LOC100507600","1557386_at",0.8248347,0.616,0.511,-6.18626,0.16897979,"LOC100507600","uncharacterized LOC100507600","LOC100507600"
"LOC440346","1569823_at",0.8249153,0.616,-0.511,-6.18635,-0.31151103,"LOC440346","uncharacterized LOC440346","LOC440346"
"LOC79999","220849_at",0.8249153,0.616,0.51,-6.18642,0.29856513,"LOC79999","uncharacterized LOC79999","LOC79999"
"LOC284263","1562585_at",0.8249153,0.616,-0.51,-6.18645,-0.26383594,"LOC284263","uncharacterized LOC284263","LOC284263"
"HAO1","220224_at",0.8249153,0.616,0.51,-6.18646,0.21185302,"HAO1","hydroxyacid oxidase 1","HAO1"
"CELF6","227775_at",0.8249153,0.616,0.51,-6.18647,0.09478231,"CELF6","CUGBP, Elav-like family member 6","CELF6"
"RPL36A-HNRNPH2","201406_at",0.8249153,0.617,0.51,-6.18653,0.06991266,"RPL36A-HNRNPH2///RPL36A","RPL36A-HNRNPH2 readthrough///ribosomal protein L36a","RPL36A-HNRNPH2"
"LOC286359","1563607_x_at",0.8249153,0.617,-0.51,-6.18654,-0.2242706,"LOC286359","uncharacterized LOC286359","LOC286359"
"MIR6836","223241_at",0.8249153,0.617,-0.51,-6.18655,-0.12729199,"MIR6836///SNX8","microRNA 6836///sorting nexin 8","MIR6836"
"PVRIG","219812_at",0.8249153,0.617,-0.51,-6.18658,-0.29980777,"PVRIG","poliovirus receptor related immunoglobulin domain containing","PVRIG"
"SMARCAL1","218452_at",0.8249153,0.617,0.51,-6.18659,0.30339212,"SMARCAL1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1","SMARCAL1"
"MYCNOS","207028_at",0.8249153,0.617,-0.51,-6.18662,-0.1218948,"MYCNOS","MYCN opposite strand","MYCNOS"
"KRT36","214576_at",0.8249354,0.617,-0.51,-6.18671,-0.20147627,"KRT36","keratin 36","KRT36"
"IDI1","204615_x_at",0.8249354,0.617,0.51,-6.18675,0.0829216,"IDI1","isopentenyl-diphosphate delta isomerase 1","IDI1"
"ENDOU","206605_at",0.8249354,0.617,0.51,-6.18677,0.13764854,"ENDOU","endonuclease, poly(U) specific","ENDOU"
"GTF2E1","205930_at",0.8250221,0.617,0.51,-6.18687,0.09516574,"GTF2E1","general transcription factor IIE subunit 1","GTF2E1"
"CHCHD4","229595_at",0.8250277,0.617,-0.51,-6.18689,-0.1308651,"CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4","CHCHD4"
"Ndufaf4","234460_at",0.8250277,0.617,-0.509,-6.1869,-0.14505356,"Ndufaf4","NADH:ubiquinone oxidoreductase complex assembly factor 4","Ndufaf4"
"HAT1","203138_at",0.8250352,0.617,-0.509,-6.18695,-0.09026738,"HAT1","histone acetyltransferase 1","HAT1"
"NANP","228073_at",0.8251543,0.617,0.509,-6.18708,0.08387324,"NANP","N-acetylneuraminic acid phosphatase","NANP"
"PAK1IP1","218886_at",0.8252202,0.617,-0.509,-6.18717,-0.19080732,"PAK1IP1","PAK1 interacting protein 1","PAK1IP1"
"LOC101929719","243251_at",0.8254018,0.618,-0.509,-6.18734,-0.21624498,"LOC101929719","uncharacterized LOC101929719","LOC101929719"
"PKP3","209873_s_at",0.8254051,0.618,-0.509,-6.18736,-0.14039192,"PKP3","plakophilin 3","PKP3"
"IDO1","210029_at",0.8254051,0.618,-0.509,-6.18737,-0.25491961,"IDO1","indoleamine 2,3-dioxygenase 1","IDO1"
"PTCHD4","234689_at",0.8254537,0.618,-0.509,-6.18741,-0.18180597,"PTCHD4","patched domain containing 4","PTCHD4"
"CYP11B2","214630_at",0.8254682,0.618,-0.508,-6.18744,-0.18506365,"CYP11B2","cytochrome P450 family 11 subfamily B member 2","CYP11B2"
"MAGEA11","210503_at",0.8254734,0.618,0.508,-6.18748,0.25911989,"MAGEA11","MAGE family member A11","MAGEA11"
"OXTR","206825_at",0.8255451,0.618,0.508,-6.18759,0.08942923,"OXTR","oxytocin receptor","OXTR"
"TRAV8-3","215797_at",0.8256467,0.618,0.508,-6.18765,0.13588575,"TRAV8-3","T cell receptor alpha variable 8-3","TRAV8-3"
"KAT2A","202182_at",0.8257174,0.618,-0.508,-6.18774,-0.11309011,"KAT2A","lysine acetyltransferase 2A","KAT2A"
"SRPK1","202200_s_at",0.8257406,0.618,-0.508,-6.18779,-0.09347785,"SRPK1","SRSF protein kinase 1","SRPK1"
"DEPDC1B","226980_at",0.8257464,0.618,0.508,-6.18781,0.35324983,"DEPDC1B","DEP domain containing 1B","DEPDC1B"
"IL25","220971_at",0.8257821,0.618,0.507,-6.18793,0.20368519,"IL25","interleukin 25","IL25"
"C10orf55","1557531_a_at",0.8257821,0.618,-0.507,-6.18794,-0.28636065,"C10orf55","chromosome 10 open reading frame 55","C10orf55"
"LOC101929473","1562520_at",0.8257821,0.618,0.507,-6.18794,0.12698201,"LOC101929473","uncharacterized LOC101929473","LOC101929473"
"LOC101927257","1564338_at",0.8257821,0.618,-0.507,-6.18797,-0.15179667,"LOC101927257","uncharacterized LOC101927257","LOC101927257"
"ADSSL1","226325_at",0.8257821,0.619,0.507,-6.18803,0.13798327,"ADSSL1","adenylosuccinate synthase like 1","ADSSL1"
"SRP14","200007_at",0.8257821,0.619,-0.507,-6.18806,-0.0655231,"SRP14","signal recognition particle 14","SRP14"
"IFNA16","208448_x_at",0.8257821,0.619,0.507,-6.18816,0.11867659,"IFNA16","interferon alpha 16","IFNA16"
"IL15","217371_s_at",0.8257821,0.619,-0.507,-6.18819,-0.16630201,"IL15","interleukin 15","IL15"
"LOC157931","1561990_at",0.8257821,0.619,0.507,-6.18819,0.2213983,"LOC157931","uncharacterized LOC157931","LOC157931"
"NOP58","223096_at",0.8257821,0.619,-0.507,-6.18823,-0.15104132,"NOP58","NOP58 ribonucleoprotein","NOP58"
"CREB3L2","237819_at",0.8257821,0.619,-0.507,-6.18827,-0.07993583,"CREB3L2","cAMP responsive element binding protein 3 like 2","CREB3L2"
"LOC101930602","208409_at",0.8257821,0.619,-0.507,-6.18829,-0.23490562,"LOC101930602///SLC14A2","putative uncharacterized protein encoded by LINC00596-like///solute carrier family 14 member 2","LOC101930602"
"LOC101928429","242714_at",0.8258715,0.619,0.506,-6.18847,0.15280155,"LOC101928429","uncharacterized LOC101928429","LOC101928429"
"EMD","209477_at",0.825933,0.619,-0.506,-6.18852,-0.08306304,"EMD","emerin","EMD"
"EVA1A","227828_s_at",0.8259433,0.619,-0.506,-6.18855,-0.15831933,"EVA1A","eva-1 homolog A, regulator of programmed cell death","EVA1A"
"LOC100133131","1570411_at",0.8259683,0.619,-0.506,-6.18866,-0.3156483,"LOC100133131","uncharacterized LOC100133131","LOC100133131"
"BARX1-AS1","1561506_at",0.8261377,0.62,-0.506,-6.18884,-0.26114313,"BARX1-AS1","BARX1 antisense RNA 1 (head to head)","BARX1-AS1"
"DEPDC7","228293_at",0.8262613,0.62,-0.505,-6.18899,-0.12615055,"DEPDC7","DEP domain containing 7","DEPDC7"
"CPAMD8","227721_at",0.8262613,0.62,-0.505,-6.18901,-0.15510522,"CPAMD8","C3 and PZP like, alpha-2-macroglobulin domain containing 8","CPAMD8"
"ULK1","209333_at",0.8262613,0.62,-0.505,-6.18901,-0.13534231,"ULK1","unc-51 like autophagy activating kinase 1","ULK1"
"LOC101927829","1561704_at",0.8263298,0.62,0.505,-6.18908,0.16980757,"LOC101927829","uncharacterized LOC101927829","LOC101927829"
"APOBEC1","207158_at",0.8263298,0.62,0.505,-6.18908,0.13489778,"APOBEC1","apolipoprotein B mRNA editing enzyme catalytic subunit 1","APOBEC1"
"SLC25A40","205716_at",0.8263853,0.62,0.505,-6.18917,0.13242984,"SLC25A40","solute carrier family 25 member 40","SLC25A40"
"GRB7","210761_s_at",0.8263853,0.62,-0.505,-6.18918,-0.11423035,"GRB7","growth factor receptor bound protein 7","GRB7"
"STAM","203544_s_at",0.8265249,0.62,0.505,-6.18928,0.07821266,"STAM","signal transducing adaptor molecule","STAM"
"FAM104B","232990_at",0.8265249,0.62,0.505,-6.18928,0.31917411,"FAM104B","family with sequence similarity 104 member B","FAM104B"
"TEX14","221035_s_at",0.8265419,0.62,-0.505,-6.18932,-0.22917756,"TEX14","testis expressed 14, intercellular bridge forming factor","TEX14"
"HNRNPUL2","222264_at",0.8265419,0.62,0.505,-6.18935,0.06949616,"HNRNPUL2","heterogeneous nuclear ribonucleoprotein U like 2","HNRNPUL2"
"TXNIP","201009_s_at",0.8265419,0.62,0.505,-6.18935,0.11746241,"TXNIP","thioredoxin interacting protein","TXNIP"
"LINC00656","1554382_at",0.8265419,0.62,0.505,-6.18935,0.24049021,"LINC00656","long intergenic non-protein coding RNA 656","LINC00656"
"ZNF320","241704_x_at",0.8265419,0.62,-0.505,-6.18939,-0.08132252,"ZNF320","zinc finger protein 320","ZNF320"
"KDM3B","201643_x_at",0.8265419,0.62,0.505,-6.1894,0.08883047,"KDM3B","lysine demethylase 3B","KDM3B"
"SLC35G3","1553471_at",0.8265419,0.62,-0.505,-6.18942,-0.1712051,"SLC35G3","solute carrier family 35 member G3","SLC35G3"
"PPP2R1A","200695_at",0.8265419,0.62,-0.505,-6.18943,-0.08781653,"PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha","PPP2R1A"
"F3","204363_at",0.8265658,0.621,0.504,-6.18951,0.24697887,"F3","coagulation factor III, tissue factor","F3"
"ZSWIM8-AS1","214867_at",0.8265905,0.621,-0.504,-6.18957,-0.0900401,"ZSWIM8-AS1///NDST2","ZSWIM8 antisense RNA 1///N-deacetylase and N-sulfotransferase 2","ZSWIM8-AS1"
"MOB4","202919_at",0.8268306,0.621,-0.504,-6.18979,-0.06979432,"MOB4","MOB family member 4, phocein","MOB4"
"CD82","228910_at",0.8268306,0.621,0.504,-6.18982,0.1660123,"CD82","CD82 molecule","CD82"
"LMO3","1565936_a_at",0.8268306,0.621,-0.504,-6.18983,-0.16303769,"LMO3","LIM domain only 3","LMO3"
"SPOP","204640_s_at",0.8268509,0.621,0.504,-6.18988,0.08106519,"SPOP","speckle type BTB/POZ protein","SPOP"
"PDE8B","1554789_a_at",0.8268973,0.621,-0.504,-6.18992,-0.1722695,"PDE8B","phosphodiesterase 8B","PDE8B"
"LOC100129476","1561602_at",0.8270889,0.621,0.503,-6.19011,0.32458326,"LOC100129476","uncharacterized LOC100129476","LOC100129476"
"SERPINB11","1552463_at",0.8270889,0.621,0.503,-6.19013,0.12922175,"SERPINB11","serpin family B member 11 (gene/pseudogene)","SERPINB11"
"NR2F2-AS1","232878_at",0.8271504,0.622,-0.503,-6.19024,-0.18659831,"NR2F2-AS1","NR2F2 antisense RNA 1","NR2F2-AS1"
"SOST","223869_at",0.8274813,0.622,0.502,-6.19049,0.35994254,"SOST","sclerostin","SOST"
"JAML","228094_at",0.827491,0.622,0.502,-6.19052,0.22324461,"JAML","junction adhesion molecule like","JAML"
"SMNDC1","200071_at",0.827491,0.622,0.502,-6.19052,0.07621696,"SMNDC1","survival motor neuron domain containing 1","SMNDC1"
"BEND4","230896_at",0.827491,0.622,0.502,-6.19054,0.30894387,"BEND4","BEN domain containing 4","BEND4"
"RPS6KA3","226335_at",0.8276896,0.622,0.502,-6.19078,0.10039609,"RPS6KA3","ribosomal protein S6 kinase A3","RPS6KA3"
"LINC00856","1556754_at",0.8276896,0.622,-0.502,-6.19079,-0.1683198,"LINC00856","long intergenic non-protein coding RNA 856","LINC00856"
"NSUN5P2","213842_x_at",0.8277432,0.622,-0.502,-6.19084,-0.17640123,"NSUN5P2///NSUN5P1","NOP2/Sun RNA methyltransferase family member 5 pseudogene 2///NOP2/Sun RNA methyltransferase family member 5 pseudogene 1","NSUN5P2"
"FBXO43","236852_at",0.8277856,0.622,0.502,-6.19087,0.3018496,"FBXO43","F-box protein 43","FBXO43"
"TOMM34","201870_at",0.8279987,0.623,0.501,-6.19103,0.07580611,"TOMM34","translocase of outer mitochondrial membrane 34","TOMM34"
"JARID2-AS1","240828_at",0.8280458,0.623,0.501,-6.1911,0.25079378,"JARID2-AS1","JARID2 antisense RNA 1","JARID2-AS1"
"SACM1L","202797_at",0.8280458,0.623,0.501,-6.1911,0.09878847,"SACM1L","SAC1 suppressor of actin mutations 1-like (yeast)","SACM1L"
"GPR75-ASB3","224524_s_at",0.8281615,0.623,-0.501,-6.19119,-0.08416314,"GPR75-ASB3///ASB3","GPR75-ASB3 readthrough///ankyrin repeat and SOCS box containing 3","GPR75-ASB3"
"PRNP","201300_s_at",0.8282687,0.623,-0.501,-6.19128,-0.09487721,"PRNP","prion protein","PRNP"
"OR8B8","1555212_at",0.8283261,0.623,0.501,-6.19137,0.11243942,"OR8B8","olfactory receptor family 8 subfamily B member 8","OR8B8"
"GRIA4","208464_at",0.8283577,0.623,-0.501,-6.1914,-0.22157574,"GRIA4","glutamate ionotropic receptor AMPA type subunit 4","GRIA4"
"ZFYVE19","225843_at",0.8283577,0.623,-0.501,-6.19143,-0.07748996,"ZFYVE19","zinc finger FYVE-type containing 19","ZFYVE19"
"GPR160","223423_at",0.8283577,0.623,0.501,-6.19143,0.13460981,"GPR160","G protein-coupled receptor 160","GPR160"
